	Th0_0.5h_1_1	Th0_14h_4_1	Th0_16h_1_1	Th0_16h_7_1	Th0_18h_5_1	Th0_1h_1_1	Th0_20h_5_1	Th0_20h_6_1	Th0_25h_6_1	Th0_2h_2_1	Th0_2h_7_1	Th0_30h_6_1	Th0_30h_9_1	Th0_36h_6_1	Th0_42h_6_1	Th0_42h_7_1	Th0_48h_6_1	Th0_4h_3_1	Th0_54h_6_1	Th0_54h_7_1	Th0_60h_6_1	Th0_72h_6_1	Th0_72h_7_1	Th0_8h_3_1	Th0_8h_8_1	Tr1_0.5h_1_1	Tr1_12h_4_1	Tr1_14h_4_1	Tr1_16h_1_1	Tr1_16h_7_1	Tr1_18h_5_1	Tr1_1h_1_1	Tr1_20h_5_1	Tr1_20h_6_1	Tr1_25h_6_1	Tr1_2h_2_1	Tr1_2h_7_1	Tr1_30h_6_1	Tr1_30h_9_1	Tr1_36h_6_1	Tr1_42h_6_1	Tr1_42h_7_1	Tr1_48h_6_1	Tr1_4h_3_1	Tr1_54h_6_1	Tr1_54h_7_1	Tr1_60h_6_1	Tr1_72h_6_1	Tr1_72h_7_1	Tr1_8h_3_1	Tr1_8h_8_1	Th0_0.5h_1_7	Th0_10h_1_7	Th0_10h_2_7	Th0_12h_1_7	Th0_16h_1_7	Th0_1h_1_7	Th0_1h_2_7	Th0_20h_1_7	Th0_20h_2_7	Th0_24h_1_7	Th0_2h_1_7	Th0_30h_1_7	Th0_30h_2_7	Th0_42h_1_7	Th0_42h_2_7	Th0_48h_1_7	Th0_4h_1_7	Th0_4h_2_7	Th0_50h_1_7	Th0_52h_1_7	Th0_52h_2_7	Th0_60h_1_7	Th0_60h_2_7	Th0_6h_1_7	Th0_72h_1_7	Th0_8h_1_7	Th17_0.5h_1_7	Th17_10h_1_7	Th17_10h_2_7	Th17_12h_1_7	Th17_16h_1_7	Th17_1h_1_7	Th17_1h_2_7	Th17_20h_1_7	Th17_20h_2_7	Th17_24h_1_7	Th17_2h_1_7	Th17_30h_1_7	Th17_30h_2_7	Th17_42h_1_7	Th17_42h_2_7	Th17_48h_1_7	Th17_4h_1_7	Th17_4h_2_7	Th17_50h_1_7	Th17_52h_1_7	Th17_52h_2_7	Th17_60h_1_7	Th17_60h_2_7	Th17_6h_1_7	Th17_72h_1_7	Th17_8h_1_7
Cnot1	3.0989	2.9604	2.9666	2.9444	2.9607	3.1293	2.9466	2.9938	2.9668	3.2177	3.2317	2.9729	3.0037	2.9604	2.9623	2.9189	2.9777	3.1042	2.9803	2.9097	2.9266	3.0644	2.9696	2.9561	2.9982	3.1195	2.9985	 2.985	2.9575	2.9097	2.9965	 3.083	2.9537	2.9959	2.9265	3.2231	3.1867	2.9819	  2.98	2.9149	2.9827	2.9611	2.9864	3.0564	2.9716	2.9505	2.9774	3.0226	2.9625	 2.992	 3.015	3.0608	2.9855	3.0065	2.9682	2.9897	3.0769	3.0222	2.9522	2.9748	2.9745	3.1343	2.9924	2.9821	2.9889	2.9631	2.9996	3.0077	3.0528	2.9777	2.9786	2.9775	  2.99	2.9903	3.0316	3.0318	3.0324	3.0254	2.9533	2.9592	2.9588	2.9444	3.0178	3.1054	2.9313	2.9489	2.9424	 3.118	2.9519	  2.98	 2.927	2.9454	2.9217	3.0426	3.1026	2.9386	2.9086	2.9419	2.9761	2.9616	3.0052	2.9344	3.0039
Cog6	2.1992	2.1384	2.1305	2.0929	2.0539	2.2078	2.1028	2.1182	2.1002	2.3075	2.0974	 2.132	2.1229	2.1089	2.2459	2.2503	2.3666	2.1877	2.3299	 2.378	2.2915	2.3458	2.4271	 2.019	2.0683	2.1657	2.0798	2.1478	2.1018	2.0799	2.0198	 2.247	2.0241	2.1007	2.1688	2.2436	2.0387	2.1362	2.1557	2.1939	2.2624	 2.298	2.2893	2.1148	2.3614	2.4835	2.3326	2.3186	2.5463	2.0048	2.0178	2.3131	2.1511	2.1692	2.1481	 2.112	2.3022	2.2543	 2.056	2.1716	 2.161	2.3572	2.1491	2.1979	2.1712	2.2119	2.2484	2.1704	2.1654	2.2516	 2.246	2.2782	 2.213	2.2369	1.9548	2.2312	2.0325	2.3402	2.2179	2.2287	2.2529	2.2841	2.3647	2.3608	2.5571	2.4965	2.7347	2.2911	2.7409	2.7676	2.5108	2.5443	2.4411	2.2102	2.1969	2.4775	2.4503	2.4664	2.4728	2.4169	2.0456	2.6188	2.1483
Commd9	2.0178	2.2083	2.2279	2.2482	2.2906	1.9259	2.2567	2.2998	2.2079	1.7778	1.6735	2.0795	 2.145	2.1852	2.0695	1.9335	1.9591	 1.879	1.9238	1.9417	1.9686	1.9129	1.8146	 2.052	1.8031	1.9754	2.1901	2.1471	2.2379	 2.256	2.2797	1.9194	2.2478	2.2605	2.2049	1.7337	1.7787	2.2375	2.1992	2.1644	2.0688	1.8551	2.0615	1.8823	1.9889	 1.847	1.9291	1.9543	1.8439	2.0425	1.9295	 1.881	1.9538	 2.011	 2.077	2.0703	1.7344	1.8363	2.0841	2.1317	 2.177	1.6498	2.1714	 2.084	2.1031	2.0641	2.2001	1.8097	 1.853	2.0761	2.1166	2.1794	2.1575	2.1842	1.8874	2.1351	1.9711	1.8834	2.0591	2.0112	2.0756	2.0665	1.7862	1.8581	2.1348	2.1217	2.1421	1.8428	2.0761	2.0544	2.0236	  1.98	 1.994	1.8448	1.8686	2.0952	2.0024	2.1351	2.1802	2.1537	 1.975	1.9439	1.9858
Cox7a2l	3.0386	2.3622	2.4799	2.3642	2.4237	3.0571	2.4823	2.4317	2.5306	2.9605	2.8813	2.5442	2.5446	2.5421	2.6662	 2.764	2.7945	2.6469	2.7939	2.8118	2.8635	2.9578	2.9026	2.3883	2.5636	3.0782	 2.268	2.3295	2.4063	2.3449	2.4104	3.0671	 2.411	2.4424	2.5184	3.0081	2.8723	 2.498	2.5436	2.6083	2.6543	2.6939	2.7558	2.6957	2.8123	2.8483	2.8873	2.9624	2.9716	2.3439	 2.587	3.1499	2.4441	2.4486	 2.465	2.5599	3.1435	3.1232	2.6067	2.5881	2.5928	3.1181	2.6619	2.6443	2.6097	2.5578	2.6092	2.7427	2.7925	2.6596	2.5889	2.5891	2.6294	2.5814	2.4574	 2.623	2.3895	3.1525	2.4287	 2.375	2.4407	2.4585	3.1563	3.1153	2.5281	2.5361	2.5687	3.0681	2.5839	2.6092	2.5864	2.5276	2.6337	2.7614	2.7476	2.6314	2.6921	 2.607	2.6472	 2.631	 2.485	2.7742	2.4001
Cpd	1.2305	2.1749	2.1786	2.3147	2.2575	1.5383	2.2135	2.3215	2.1565	 1.507	1.5824	2.0206	1.9783	1.8399	1.9093	2.0784	2.0033	1.6349	1.8901	2.0336	1.7372	1.8879	1.8205	2.1736	2.2271	1.4349	2.2965	2.1873	2.1948	2.3213	2.2074	1.1994	2.2946	2.2049	2.1984	1.5167	1.4249	2.0003	2.0185	1.8532	1.8237	1.9918	1.6759	1.6895	 1.565	1.8174	1.5228	1.5851	1.7201	2.1605	 2.148	1.2267	1.8119	1.9358	2.1297	2.0337	1.3454	 1.256	2.1911	2.2826	2.3805	1.2965	2.1296	2.1655	2.1528	2.1955	 2.074	 1.259	1.4631	2.1794	2.0094	2.1368	2.3282	2.1262	1.5942	2.1488	1.8988	1.2296	2.6625	2.7345	2.8439	2.8983	1.3838	1.3984	2.8774	2.8573	2.9744	1.2037	2.9313	2.9211	2.9103	2.9557	2.7237	1.6091	1.6063	2.7856	2.5993	2.8364	2.9677	2.9125	2.3243	2.6205	2.5754
Cpox	1.5758	1.9651	1.9627	1.9487	1.9748	1.5076	2.0182	2.0541	 1.965	 1.542	1.4691	1.9624	2.1036	1.9729	1.9923	2.0316	 2.007	1.7217	1.9654	2.0103	1.9857	1.9295	1.7388	1.9458	1.7426	1.5791	2.0128	2.0183	1.9698	1.9922	2.0739	1.5038	2.0622	2.2108	2.0341	1.5262	1.4381	1.9901	2.0482	2.0418	1.9024	1.9207	1.9676	1.7173	1.8897	2.0382	1.7875	1.8818	 1.798	1.9279	1.9008	1.6056	1.8153	1.8707	1.8359	1.8301	1.4837	1.4173	1.9313	2.0376	1.9349	1.5079	1.8903	1.9248	1.8231	2.0365	1.9665	  1.68	1.6562	1.9481	2.0426	2.1004	2.1246	  2.16	1.6686	2.0148	1.8878	1.6089	1.8713	1.8737	1.9219	 2.108	1.4558	1.5252	 2.208	2.1588	2.1807	1.4999	2.2779	2.2454	2.4523	2.4701	2.4341	1.6637	 1.653	 2.465	2.4413	  2.55	2.7126	2.6808	1.7931	2.4071	1.9118
Creb1	1.7457	1.6314	1.5982	1.6213	1.6774	  1.73	 1.642	1.5808	1.6488	1.9328	2.1232	1.6926	1.6447	1.7077	  1.61	1.7412	1.5297	1.6239	1.6192	1.6493	1.5256	1.5931	1.4344	1.5767	1.5716	1.7561	1.5282	1.5864	 1.607	1.5022	1.6325	1.7888	1.6063	1.5755	1.7295	1.9611	2.1267	1.7048	 1.723	1.7624	1.5808	1.5869	1.6418	1.7178	1.6084	1.5609	1.5499	1.4956	1.4683	1.4517	1.5489	1.6497	 1.538	1.5365	1.5433	  1.63	1.5986	1.5954	1.5932	1.6278	1.6607	1.8635	 1.701	1.6538	1.6661	1.6694	1.7056	1.7566	1.6479	1.7248	1.6869	1.6885	1.6752	1.6728	1.4359	1.6051	1.4781	1.6802	1.5735	1.5321	 1.648	1.6044	1.5937	 1.634	1.6085	1.5726	1.5931	1.8068	1.6459	1.5824	1.6198	 1.502	1.5838	1.6807	1.6057	1.5966	1.6411	1.6201	1.5762	1.5686	1.5131	1.3933	1.5089
Crebbp	2.4499	2.1078	2.0612	  1.99	2.0625	2.4216	2.0377	 2.149	2.0457	2.6115	2.5989	2.0512	2.0357	2.0067	 1.994	2.0141	1.9917	2.4582	1.9279	1.7933	1.8512	1.9044	1.9014	2.1997	2.2343	2.4229	2.1721	2.1598	2.0917	2.0198	2.0947	2.3231	1.9889	2.0267	2.0461	2.5531	2.4313	1.9685	2.0038	1.8863	1.9941	1.9649	 1.998	2.3022	 1.895	1.8197	1.7505	1.9933	1.7241	2.3218	2.2644	2.4112	2.2927	2.2994	2.1541	2.0495	2.2929	2.2921	2.0077	2.0528	2.0509	2.4861	2.0897	2.0455	2.0221	2.0241	1.9731	2.3035	2.3959	1.9924	1.9384	 2.033	1.9994	1.9708	2.2871	1.8888	2.3168	2.4214	2.2779	2.3199	2.1718	2.1112	2.3229	2.3406	1.9807	2.0294	 2.023	2.4833	1.9408	1.9695	1.9529	1.9098	1.9329	2.3606	2.3563	1.9567	1.9391	1.9757	1.9819	1.9348	2.2858	1.9191	2.3597
Crip1	3.6171	2.6684	2.7669	2.7884	2.7429	3.5293	2.9341	2.8546	 3.043	3.4656	3.3774	3.0795	3.0205	 3.142	3.1372	3.0094	3.1728	2.8997	3.2602	3.2805	3.4281	3.5386	3.5407	2.6023	2.8223	3.6055	2.6513	2.6098	2.7357	2.7327	2.7103	3.5305	2.8819	2.8231	3.0139	3.4072	3.2517	3.1235	3.1105	3.1704	3.2547	3.1029	3.2866	2.8008	3.4804	3.3584	3.5331	3.6553	3.5926	2.4801	2.8823	3.7624	2.4704	2.4945	2.5368	2.7145	3.6748	3.6751	3.0147	3.0101	3.0362	3.5037	3.1032	3.1887	2.9666	3.0864	2.9657	3.2007	3.1952	2.9424	2.9613	2.9543	2.7764	 2.961	2.7633	3.0487	2.5531	3.7303	2.5267	 2.504	2.6872	2.7732	3.6354	3.6046	2.9783	3.0433	 3.114	3.2795	 3.329	3.3993	3.4122	3.4823	3.4522	2.9021	2.8955	 3.414	3.4568	3.4564	3.4578	3.4405	2.5886	3.5894	2.5792
Crtam	 1.8039	 1.9466	 2.0556	 1.8631	 1.8319	 1.7347	 1.7998	 1.6294	 1.5945	 1.6822	 1.9654	 1.6823	  1.584	 1.6138	 1.6401	 1.7765	 1.4648	 2.4213	 1.4618	 1.6163	 1.2613	  1.302	 1.2864	 2.4483	 2.3595	 1.8159	 1.7483	 1.8083	 1.7999	 1.7283	 1.7797	 1.6293	 1.7811	 1.6095	 1.8182	 1.7259	  1.785	 1.7831	  1.837	 1.8543	 2.0208	 1.9237	 1.7431	 2.4255	 1.6964	 1.8205	  1.437	 1.4617	 1.6165	  2.317	 2.1948	 1.6462	 2.2331	 2.3401	 2.0024	 1.9263	 1.4589	 1.4236	  1.566	  1.682	 1.4955	 1.8259	 1.4422	 1.5007	 1.7842	 1.6878	 1.6381	 2.3247	 2.2857	 1.6843	 1.5291	 1.6585	 1.7798	 1.8115	  2.372	 1.9075	 2.3433	 1.6897	 1.8678	 1.8753	 1.7107	 1.6121	 1.5713	 1.4731	 1.4392	 1.5412	 1.5013	 1.5861	 1.5064	 1.3966	 1.4961	 1.3969	 1.4419	 2.1159	 2.1174	 1.3027	 1.3395	 1.3073	0.85182	 1.0747	 2.1435	 1.2161	 2.0564
Crybg3	 1.1834	 1.3296	 1.2481	 1.3068	 1.2791	 1.2576	 1.2094	 1.2972	 1.3711	 1.1544	 1.0927	 1.1948	 1.2766	 1.3426	 1.2269	 1.2429	 1.2441	 1.1851	 1.3638	 1.2656	 1.2801	 1.1985	 1.1841	 1.3476	 1.1913	 1.2079	 1.2471	 1.3105	 1.3708	 1.2612	 1.3155	  1.218	 1.3103	 1.3171	 1.3084	 1.2226	 1.1464	 1.3995	 1.3242	 1.3077	  1.324	 1.2975	 1.2906	 1.2283	 1.3304	 1.3248	 1.2242	 1.2223	 1.3213	 1.2419	 1.2089	 1.1071	 1.0399	 1.0036	 1.0731	 1.0374	0.93916	 1.0644	 1.1077	 1.2221	  1.114	 1.0484	 1.2833	 1.1048	 1.3806	 1.3444	 1.3978	 1.0217	 1.1179	 1.3914	 1.5063	 1.5639	 1.6018	 1.6083	0.96172	 1.6393	 1.1041	 1.1289	 1.1139	   1.15	 1.3078	 1.1044	  1.053	 1.1888	 1.3323	  1.535	 1.4537	 1.0133	 1.6415	 1.4684	 1.8339	 1.8292	 1.8198	  1.019	 1.1225	  1.795	 1.7642	 1.9453	 2.0107	 1.9364	  1.015	 2.0128	 1.0231
Cs	 2.894	2.9905	3.0675	3.0653	 3.052	2.8863	 3.098	3.1139	3.0966	2.8915	 2.844	3.0914	3.0976	3.1038	3.1146	3.1212	3.1338	2.8208	3.1415	3.2135	3.1769	3.2023	3.2496	2.9287	2.8357	2.8799	3.0122	2.9637	3.0607	 3.075	3.0613	2.9075	3.0819	 3.079	3.1131	 2.885	2.8075	3.1529	3.1236	 3.133	3.1098	 3.165	3.1632	2.7838	3.1267	3.2057	3.2105	3.1537	3.2234	2.8942	2.8694	2.9364	2.9188	2.9824	3.0362	3.1176	2.8494	2.8612	3.1184	3.1773	3.1443	2.8865	3.1526	3.0961	3.1188	3.0912	3.1254	2.8548	2.8196	3.0917	3.1547	  3.11	3.0774	3.1024	2.9075	3.1616	2.9667	2.9136	2.9584	2.9803	3.0067	3.0441	2.8842	2.9032	3.0832	3.1104	3.0753	2.7834	3.1539	  3.19	3.1591	3.1755	3.2013	2.8443	2.8577	3.2035	3.2044	3.1942	3.1416	3.1634	2.9266	3.2004	2.9945
Csf2	 1.1807	 1.5639	 1.4642	 1.4746	 1.5219	 1.1507	 1.7415	 1.5945	 1.9359	 1.3271	  1.317	 1.8592	 1.8051	  1.827	 2.5039	 3.0276	 2.8591	 1.7405	 2.6418	  2.859	 2.1587	 1.5893	 2.5458	 1.7768	 2.0545	 1.2069	 1.3288	 1.3556	 1.2523	 1.2011	 1.2783	 1.2499	  1.252	 1.2035	 1.2406	 1.1542	 1.4547	 1.1207	 1.2473	 1.4154	 1.2583	 2.0293	 1.2898	 1.7902	 1.3664	 1.7363	 1.4319	 1.3505	 1.5262	 1.5249	  1.818	 1.1565	 1.3975	 1.3952	 1.5416	 1.4681	  1.236	0.99419	 1.3304	 1.4582	 1.7615	 1.1533	 1.8903	 1.7022	 2.4032	 2.3381	 2.5269	 1.9222	 1.8948	 2.7742	 2.7609	 2.8042	 2.8888	 2.8228	 1.8647	  2.995	 1.8543	 1.0068	 1.1135	 1.1102	 1.0825	 1.2207	 1.1195	 1.0386	 1.1061	 1.1091	 1.2242	  1.261	 1.2899	 1.2121	 1.5854	 1.6369	 2.0617	 1.8344	 1.6361	  1.969	 2.0087	 1.8323	 1.9537	 1.8256	 1.6842	 2.2584	  1.523
Csnk1e	2.1228	 2.186	2.1206	2.1006	2.0567	2.1491	2.1421	2.0626	2.1104	2.4097	2.3177	 1.922	2.0475	1.9634	 2.144	2.2487	2.0171	2.3247	2.1084	2.2005	2.0347	 1.902	 2.174	2.3398	2.2672	2.1423	2.3083	2.2121	2.1728	2.1314	2.1275	2.1393	2.2072	2.0696	 2.233	2.3068	2.1796	2.0693	2.0758	2.0991	2.1239	2.1473	 2.055	2.3135	2.0722	2.1893	1.9766	1.9501	2.1336	2.4066	 2.414	2.2365	2.2132	2.2648	2.1689	2.1376	 2.404	2.2758	 2.008	2.0894	2.0849	2.4562	2.0615	2.0612	2.0792	2.0547	2.0201	2.2462	2.2983	2.0906	2.0058	2.0175	1.9783	1.9187	2.3049	1.7595	2.4084	2.3196	2.2118	2.2326	 2.256	2.2408	2.4089	2.3405	 2.194	2.2474	2.2816	 2.358	2.2119	2.1654	2.2325	2.1206	2.2077	2.2705	2.2308	 2.233	2.1549	2.1509	2.1114	2.1248	2.3665	2.1853	2.4676
Cst3	2.5339	2.5312	2.5643	2.6077	2.5774	2.4819	2.5189	2.5869	2.4993	2.4211	 2.502	2.4229	2.4012	2.4651	2.5421	2.6597	2.5511	2.3494	2.7315	3.0422	2.8105	2.7935	3.1724	2.5676	2.3502	2.5363	2.5466	2.5464	2.5385	2.5644	2.5335	2.5447	 2.484	2.5185	2.4552	2.4171	2.5081	2.4872	2.4352	 2.486	2.5349	2.4237	2.5168	2.4141	2.5691	2.6792	2.6738	2.6131	2.7221	2.4841	2.4355	2.5018	2.5083	2.5578	2.5188	 2.588	2.4506	2.4412	2.5488	2.5593	2.5845	2.3715	2.5525	 2.564	2.5574	2.5416	2.5978	 2.426	2.4363	2.6538	2.6109	2.5582	2.6643	2.6476	2.4609	2.7593	2.4854	 2.561	2.5444	 2.574	2.6051	2.6394	2.5735	2.5027	2.6483	2.6899	2.6618	2.4591	2.6588	2.6768	 2.597	2.6032	2.6291	2.3997	2.3988	2.6408	2.6708	2.6682	2.6963	2.6715	 2.447	2.7055	2.5126
Cstf2t	2.7812	2.8006	2.7884	2.7598	2.7667	2.8313	2.7493	2.7091	2.6737	2.8744	2.7556	2.6148	2.6655	2.6027	2.6235	2.6734	2.4739	2.8429	2.5533	2.5481	2.4515	2.2713	2.5177	2.8726	2.7286	2.7522	2.7927	2.8073	2.7988	2.7833	 2.794	 2.809	2.7399	2.7191	2.6955	2.8062	2.8252	2.6026	 2.624	2.6372	2.6192	2.5969	2.5033	 2.924	2.4818	2.4807	2.3419	2.4121	2.0825	2.8905	 2.838	2.7049	2.7884	 2.801	2.7191	2.6713	2.7516	2.7326	2.6958	2.6964	2.6646	2.7824	 2.651	2.6715	2.6505	 2.691	2.6392	 2.866	 2.804	2.6171	2.6343	 2.673	2.6695	2.6596	2.7974	 2.576	2.7891	2.6944	2.7696	2.7591	2.7422	2.6979	 2.682	2.7196	2.7099	2.6639	2.6412	2.7984	2.6156	2.5974	 2.618	2.5995	2.5568	2.8262	2.7736	2.5961	2.5391	2.6124	2.6187	2.6171	2.7737	2.5021	2.7598
Ctla2a	1.7948	1.2836	1.4222	1.3575	1.2985	2.0654	1.4099	1.3062	1.3272	2.3675	1.9786	1.5677	1.4239	1.5516	1.4456	 1.317	1.5852	2.0271	1.7582	1.6938	2.2005	2.2788	2.1087	1.4572	1.4731	1.7705	1.3876	1.1725	1.3901	1.3807	1.4671	2.0198	1.5141	1.6224	1.8444	2.2179	2.0186	  2.34	2.2933	2.4158	2.7427	2.2367	3.0103	1.9909	3.2665	 2.789	3.2922	3.3615	3.3473	1.3829	1.6154	1.9766	1.3905	1.3039	1.3216	1.2576	2.3364	  2.26	1.6024	1.3531	1.5611	2.5979	1.5529	1.8059	1.3117	1.8395	1.2064	2.4021	 2.286	1.2705	1.3959	  1.22	1.2974	1.3811	1.9204	1.5472	1.4954	2.2297	2.2203	2.2115	2.2043	2.7482	2.5321	2.2873	 3.125	2.7601	3.1429	2.4823	3.2574	3.3265	3.1978	3.4791	3.2386	2.3457	2.3167	3.2367	3.2901	3.3227	3.4418	3.5391	2.0225	3.4251	1.8726
Ctla2b	 1.1229	0.92239	0.98001	   0.95	0.96772	 1.2362	 1.0018	0.96216	 1.0182	 1.5655	 1.1608	 1.0364	0.99134	0.99116	 1.0206	0.99515	 1.0424	   1.07	 1.0129	 1.0536	 1.1807	 1.2184	 1.1187	 1.0555	 1.0016	 1.0619	0.99944	0.99743	0.96331	0.99872	0.97498	 1.2203	0.98653	0.98235	 1.0163	 1.3482	0.99312	 1.0436	  1.214	 1.3371	 1.5042	  1.222	 1.8435	 1.1264	 2.1171	 1.6681	 2.2797	 2.3145	  2.218	0.93115	0.93232	 1.3304	0.81278	 0.8117	0.90915	0.92647	 1.9677	  1.647	0.96607	0.89487	0.89326	 2.0688	0.91215	0.93622	 0.8566	 1.0595	 0.9305	   1.39	 1.3019	0.87564	0.85918	0.85918	0.84994	 0.8134	0.96023	0.90684	0.85777	 1.5141	 2.0228	 1.9969	 1.8098	 2.1239	 1.7429	 1.5431	 2.4589	 2.1848	 2.4674	 1.7427	 2.7696	 2.8115	 2.8048	  2.979	  2.608	 1.4172	 1.2745	 2.6765	 2.6133	 2.8678	 3.0704	  2.978	 1.3402	 2.9931	 1.4783
Ctla4	2.5772	 2.129	2.4168	2.4552	2.4764	2.5495	2.7486	 2.562	2.8573	2.2793	1.9762	2.8407	2.8856	3.0181	3.0845	3.0444	3.4177	1.7644	3.1923	3.0723	 3.347	 3.329	3.0513	1.8324	1.5174	 2.577	2.1212	1.8294	 1.909	1.8558	1.9852	2.3708	2.0843	2.0092	2.2301	2.2899	2.0171	2.5568	  2.59	2.9356	3.1834	2.9835	3.3859	2.0145	3.3755	 3.348	3.4042	3.3292	3.2058	1.9218	1.8074	2.8509	1.9023	1.7902	2.0643	2.3452	2.7778	2.7194	2.8614	2.8499	2.9286	2.4368	2.9435	2.9483	2.7611	 2.855	2.9386	2.1483	2.1564	3.0306	3.0589	3.0181	2.9732	2.9867	2.0553	3.0555	1.9985	2.7294	2.4118	 2.585	3.0559	3.1606	2.6345	2.5686	3.3045	3.3969	3.4326	2.5638	3.3754	3.3527	3.4649	 3.335	3.4904	2.6285	 2.542	3.5129	3.4936	3.4308	3.5071	3.4047	2.4625	3.5829	2.5625
Ctss	3.3116	2.6889	2.7854	2.6604	2.7013	3.2225	2.7899	2.7314	 2.818	3.1901	3.1154	2.8974	2.8934	2.9564	2.9741	2.9851	2.9442	3.1609	3.0796	3.1715	3.1573	3.1847	3.2729	2.8864	3.1587	3.2964	2.6676	 2.679	 2.748	2.6669	2.6334	3.2603	 2.656	2.6464	2.5819	3.1862	3.1731	2.5519	2.5352	2.6583	2.6145	2.7904	2.7489	3.2992	2.8187	2.9243	2.9753	2.9944	3.0117	2.8139	3.1696	3.3963	2.7308	2.7215	2.7082	2.7413	3.3543	3.4385	2.7706	2.8596	2.8067	3.2749	2.9655	3.0405	3.0141	3.0601	3.0528	3.1346	3.1126	3.0518	3.0956	3.1048	3.0157	3.0515	2.9891	3.1122	 2.777	3.4029	2.7506	2.7342	2.6338	2.5624	3.3744	 3.385	2.4667	 2.473	2.3913	3.3386	2.6042	2.6012	2.6312	2.7181	2.7135	3.1585	3.1786	2.6363	2.7936	  2.71	2.7066	2.7077	2.9515	2.7718	2.7948
Ctsw	 2.695	2.0105	1.9999	1.9702	1.9352	2.6489	2.0922	1.9813	1.8918	2.9018	2.8359	1.8417	1.8431	1.7647	 1.738	1.6961	1.6619	 2.893	1.8292	1.8887	2.1044	2.3791	2.0981	2.4963	2.5899	2.7017	2.0565	1.9626	2.0036	1.9176	 1.931	2.6846	1.9973	1.9055	1.9716	2.6997	2.7542	2.0252	1.9587	2.0838	2.2622	2.1587	2.5091	2.7745	2.7258	2.5989	2.9913	3.2199	3.2179	2.3605	2.6498	2.7826	1.9916	2.1609	1.8744	1.8729	 2.797	2.7336	2.2438	2.0706	2.1719	2.9029	1.6846	2.0758	1.8788	2.0034	1.8334	2.7552	2.8442	1.7031	 1.789	1.7371	1.7012	1.9709	2.5372	2.0889	2.2222	2.7867	2.5469	2.6541	2.5714	2.7728	2.7791	2.7666	 2.911	2.7686	2.9974	2.7895	2.9771	3.0488	2.7404	2.9759	2.4413	2.6592	2.7459	2.5556	2.3572	2.7119	2.8291	2.7599	 2.579	2.3474	2.5094
Cutc	  1.54	1.7079	1.6863	1.7459	1.6353	1.5187	1.6898	1.5342	1.5962	1.4597	1.4613	1.5216	1.7123	1.6183	1.5657	1.7077	1.5324	1.4689	1.5478	1.5884	1.5819	1.4262	1.4855	1.4827	1.4353	1.5978	1.6822	1.5997	1.6534	1.6798	1.6028	1.5132	1.5813	1.5189	1.5231	1.4499	1.3719	1.5701	1.5772	1.5157	1.5022	1.5788	1.5273	1.4523	1.5071	1.4957	1.3933	1.3753	1.3854	1.4969	 1.452	1.4763	1.6261	1.5259	1.6271	1.6305	1.3709	1.4111	1.6643	1.7287	 1.674	1.3931	1.6471	 1.652	1.6331	 1.693	1.6023	1.4077	1.3492	1.6672	1.5884	1.6812	1.5603	1.6055	1.2835	1.5108	1.4631	1.5661	 1.527	1.5081	1.6303	1.4902	1.4804	1.4337	1.5984	1.4843	1.4373	1.3109	1.3573	1.4576	1.3878	 1.279	1.4413	1.3133	1.2493	1.4139	1.3917	1.3936	1.4084	1.3629	1.4781	1.3715	1.5254
Cxcr3	1.6827	2.0058	1.7797	2.1135	2.0032	1.7909	1.6239	1.7857	1.7892	 2.233	2.2532	1.8475	 1.846	1.9897	2.0608	1.9639	1.6489	2.1863	1.9443	2.1498	2.0315	1.8943	  2.37	2.0901	2.1284	1.6774	1.9016	1.8645	2.0246	2.0355	1.7996	1.6869	1.7717	1.6112	1.7353	2.0868	 1.928	1.9489	1.9178	1.8827	2.1224	1.9045	 2.157	2.1478	2.3763	 2.094	 2.319	2.4856	2.0971	 1.966	1.8928	1.8278	2.2191	2.3231	2.0755	2.0062	1.8968	1.8641	1.7424	1.9069	1.7521	 2.356	1.6672	1.7523	1.8409	1.8627	1.8122	2.5455	2.4791	1.7625	1.8844	1.9712	1.9629	2.0701	2.4368	2.0473	2.2875	1.7913	2.8023	2.8842	2.7796	2.5261	1.8169	1.8618	2.1822	2.2859	2.1718	2.2581	2.1065	2.1503	2.1136	2.0896	2.0345	2.5874	2.5462	1.9955	2.0635	2.0122	1.7955	1.8844	2.7669	1.8915	2.8024
