regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	var.exp.ranksum	prior
Tbx21	Fas	26	26	0.249275038278073	271295.5	0
Arid3a	Ap4m1	26	26	0.182382574721391	271552	1
Batf	Hif1a	25	25	0.115378533058241	271772	1
Tbx21	Ncoa1	24	24	0	271967	0
Stat4	Rap1gds1	25	25	0.0857947883909601	272267	1
Txk	Sesn3	23	23	0	272423.5	0
Sox4	Cpd	-24	24	0	272444.5	0
Ets1	Rora	-25	25	0.112141246685659	272447	1
Pou2f2	Mycbp2	22	22	0	272532	1
Nfkb1	Rgs14	-25	25	0.077677615200899	272624	1
Max	Il15ra	24	24	0	272941	1
Plagl1	Cxcr5	26	26	0.185778730286842	273033.5	1
Batf	Il21	24	24	0	273065.5	1
Rara	Ebag9	24	24	0	273134	0
Prkrir	Irf5	25	25	0.107995434254144	273372.5	0
Irf5	Chst15	24	24	0	273396	0
Irf4	Polr3gl	24	24	0	273619	1
Ahr	Slc1a4	24	24	0	273764	1
Prkrir	Ccng1	25	25	0.0825338744569739	273896	0
Rara	Serpine2	25	25	0.113350013814739	274074	1
Bcl3	P4ha2	-25	25	0.115633325793869	274149.5	0
Dnmt3a	Basp1	-23	23	0	274186.5	0
Klf10	Adam19	24	24	0	274195.5	0
Dnmt3a	Slc39a1	-26	26	0.171333752617461	274308	0
Stat2	Ifnar1	25	25	0.151592836026938	274491.5	1
Foxp1	Zfp239	-23	23	0	274614.5	1
Foxp1	Parp8	23	23	0	274689.5	1
Ahr	Uba1	25	25	0.0871689110155096	274703.5	1
Ing2	Mxi1	24	24	0	274712	0
Ikzf3	Fth1	25	25	0.116427905513718	274842	0
Atf6	Riok3	24	24	0	275001.5	0
Rel	Gypc	-27	27	0.145811366173056	275057.5	1
Maf	Tgm2	-22	22	0	275096.5	0
Myb	Parp8	-23	23	0	275334.5	0
Rorc	Uba1	25	25	0.145104621881176	275389	0
Nfatc1	Syf2	-23	23	0	275475	0
Stat2	Serpinb6b	23	23	0	275574	1
Myb	Nsf	24	24	0	275986	0
Prkrir	Rbm43	25	25	0.092800045324848	276317	0
Fosl2	Serpinb9	-23	23	0	276443	1
Kdm2b	Max	26	26	0.176196834805611	276654	0
Gata3	Sema7a	25	25	0.0681344045628501	276703	1
Ski	Lactb	-25	25	0.0697940879002149	276709	0
Hif1a	Krtcap2	24	24	0	276751.5	0
Sox4	Akna	23	23	0	276817	1
Fli1	Arrb2	26	26	0.157453581264732	276839	1
Zfp36l1	Dhcr7	-22	22	0	276891.5	0
Mxi1	Mapk7	25	25	0.0951930707933277	276921	1
Stat3	2310004i24rik	23	23	0	277052.5	0
Fbxo18	Ppcdc	24	24	0	277127.5	0
Pou2f2	Arhgdig	-24	24	0	277274	0
Akna	Myb	25	25	0.0951933045644381	277342	0
Trib3	Pycr1	23	23	0	277403	0
Nfkb1	Tmem19	25	25	0.0865738028741455	277496.5	1
Prkrir	Cd44	25	25	0.0980342550484006	277542.5	0
Irf4	Slfn2	-25	25	0.0769498986419721	277572	1
Kdm2b	Xpnpep1	-25	25	0.111472164503241	277720.5	0
Stat4	Adora2a	-26	26	0.11673056232839	277923.5	1
Kdm2b	Slc25a38	25	25	0.0916498245440354	278146	0
Myb	Pten	-23	23	0	278215.5	0
Gfi1	Ms4a4c	26	26	0.200961212540558	278439.5	0
Rara	Rnf130	-25	25	0.0788482787703051	278663	1
Fosl2	Txk	23	23	0	278783	1
Nfatc2	Ccr8	25	25	0.0878886486903547	278907	1
Ahr	Map3k8	-24	24	0	278991	0
Rxra	Dcxr	23	23	0	279007.5	0
Ski	Chchd7	-23	23	0	279017.5	0
Irf4	Plxnd1	24	24	0	279050	1
Rpa2	Ccnd3	22	22	0	279145	0
Fancm	Aig1	-24	24	0	279184	0
Gata3	Gpr65	-23	23	0	279242.5	1
Dnmt3a	D730040f13rik	24	24	0	279347	0
Nupr1	Asns	22	22	0	279356.5	0
Nfatc1	Fancm	-24	24	0	279415.5	1
Egr2	Nfe2l2	23	23	0	279416	1
Bcl3	Tpd52	-25	25	0.0775983143542393	279481.5	0
Foxp1	Tfg	-22	22	0	279561	0
Egr2	Tsc22d3	22	22	0	279630	0
Kdm2b	Tox	24	24	0	279739.5	0
Stat2	Emp1	-22	22	0	279806.5	0
Rara	Tnfsf11	23	23	0	279855	0
Irf4	Peci	25	25	0.142126706210547	279867.5	0
Pcbp4	Car2	-23	23	0	280058.5	0
Klf3	Ifit1	25	25	0.11421094839527	280109.5	0
Runx1	Abcg2	25	25	0.0952812423619509	280460	1
Irf5	Mycbp2	22	22	0	280515	1
Pou2f2	Hk2	-22	22	0	280517	1
Cebpb	Ms4a4b	23	23	0	280526	0
Pcbp4	Nme4	24	24	0	280644	0
Prkrir	1500010j02rik	22	22	0	280801	0
Eomes	Ripk1	-25	25	0.0825375567445937	280928.5	1
Klf3	Parp9	22	22	0	281021.5	0
Impdh1	Pdzk1ip1	-24	24	0	281091.5	0
Egr2	Rpn1	-22	22	0	281153.5	0
Nfatc1	Zyg11b	-22	22	0	281226.5	0
Dnmt3a	Slc39a8	-23	23	0	281274.5	0
Sap30	Gys1	23	23	0	281363	0
Rara	Marcks	24	24	0	281391.5	1
Creb1	Acsbg1	-22	22	0	281422.5	0
Klf3	Tmed3	-23	23	0	281519	0
Gfi1	Ms4a4b	22	22	0	281522	0
Irf5	Irf4	24	24	0	281780	1
Arid3a	Rprd1a	-23	23	0	281907	0
Ifih1	Serpinb9	23	23	0	281909	0
Creb1	Lgals7	25	25	0.0549614742033382	282005.5	1
Klf7	Vegfb	24	24	0	282038.5	1
Zfp239	S100a4	-23	23	0	282133	0
Egr2	Prkrir	-22	22	0	282164	1
Ercc5	Tnfsf4	24	24	0	282373	0
Fli1	Oas1b	-25	25	0.0836266558402404	282451.5	1
Nfkb1	Mgll	25	25	0.0706927757572322	282604.5	1
Bcl3	Marcksl1	23	23	0	282680	0
Gata3	Tmem120b	-24	24	0	282805.5	1
Irf4	Sf3b3	-23	23	0	282902.5	0
Inhba	Procr	22	22	0	283058	0
Rbpj	Tes	24	24	0	283136	1
Rxra	Ap3b1	25	25	0.0851548358803124	283244.5	1
Mxi1	Flna	24	24	0	283547.5	1
Stat3	Tgm2	21	21	0	283592	0
Nfatc1	Pag1	-22	22	0	283651	1
Ppp1r10	Pknox1	23	23	0	284010	0
Max	Rara	25	25	0.0716854018039199	284492.5	1
Rora	Pdpn	24	24	0	284565.5	0
Maff	Tspyl4	-23	23	0	284642.5	1
Pou2f2	Ramp3	23	23	0	284777.5	0
Sox4	Nrip1	24	24	0	284843.5	1
Maf	Tcf12	23	23	0	285030.5	1
Zfp36l1	Nfkb1	22	22	0	285069.5	0
Egr2	Mmachc	-21	21	0	285087	0
Pbx2	Txk	-22	22	0	285197.5	0
Stat2	Il9	-23	23	0	285201	0
Klf4	St7	-25	25	0.0769226441715434	285225	1
Klf4	Ap3b1	23	23	0	285421	0
Zfp36l1	Arhgdig	-22	22	0	285581.5	0
Rxra	R3hdm1	25	25	0.065587189505209	285665	1
Max	Jak3	25	25	0.0750839784675086	285709.5	1
Arid5a	Il1rn	23	23	0	285904.5	0
Maf	Batf	-24	24	0	286132	1
Pbx2	Arl4c	-23	23	0	286347.5	0
Bcl3	Acin1	23	23	0	286487	0
Bcl3	Skap2	-23	23	0	286987	0
Klf4	Rgs11	22	22	0	287424	0
Egr2	Iqgap2	22	22	0	287653.5	1
Nupr1	Ddit4	24	24	0	287676.5	0
Ifih1	Tnfaip8	23	23	0	287801.5	0
Crem	Myd88	23	23	0	287829	0
Myb	Bcl2l11	-22	22	0	287834.5	0
Klf3	Mllt3	23	23	0	287882.5	0
Irf4	Ell2	24	24	0	288089	1
Myb	Tnfsf8	-22	22	0	288132	0
Rxra	Vldlr	24	24	0	288168.5	0
Crebbp	Exo1	-23	23	0	288202	0
Ing2	Mfge8	24	24	0	288349.5	0
Creb1	Klf10	-24	24	0	288354.5	0
Nfkb1	Marcks	24	24	0	288392.5	1
Max	Isg20	-23	23	0	288654	1
Stat2	Wdfy2	-23	23	0	288687	1
Ift57	Wwp1	23	23	0	288700.5	0
H1f0	Tg	21	21	0	288760	0
Bcl3	Chmp4b	-24	24	0	288985.5	1
Nfkb1	H2-q10	-22	22	0	289026	0
Ski	Pcgf1	-23	23	0	289033.5	0
Zfp36l1	Tnnt2	22	22	0	289061	0
Stat2	Aqp3	-21	21	0	289151.5	0
Vax2	Areg	-23	23	0	289242	0
Maf	Eid1	25	25	0.0812371587730464	289328	1
Tcf12	Abcb9	-23	23	0	289417	0
Nfatc2	Rnh1	-22	22	0	289501.5	0
Egr2	Txk	21	21	0	289537	0
Batf	Timd2	21	21	0	289570.5	1
Tbx21	Myst4	21	21	0	289689	0
Nfatc1	Gja1	22	22	0	289870	1
Batf3	Casp3	-23	23	0	289923	0
Nfyb	0610007p14rik	20	20	0	290113.5	0
Cebpb	Chic2	23	23	0	290227.5	0
Stat2	Ifit1	24	24	0	290340	1
Ahr	Oas1c	-23	23	0	290390.5	0
Rxra	Smox	23	23	0	290460.5	1
Sap30	Syce2	23	23	0	290588.5	0
Ercc5	Lactb	24	24	0	290805	0
Nfyb	Mxd1	-24	24	0	290836.5	1
Maf	Il1rn	-22	22	0	290981.5	0
Tbx21	Ddit3	21	21	0	291026.5	0
Maff	Ptger2	23	23	0	291096.5	0
Prkrir	Amz2	22	22	0	291205	0
Klf4	Tmem183a	-23	23	0	291281	1
Stat2	Parp9	21	21	0	291298.5	1
Tbx21	Phtf2	-22	22	0	291471	0
Prkrir	Ccl3	21	21	0	291553	0
Dnmt3a	Dusp2	22	22	0	291594	0
Egr2	Appl2	20	20	0	291620	1
Klf7	Chst12	23	23	0	291856.5	1
Maff	Nsg2	-22	22	0	291915.5	1
Gfi1	Sla2	23	23	0	291953	0
Ets2	Dazap2	22	22	0	292038	0
Arid5a	Il24	23	23	0	292045	0
Rxra	Lgals7	24	24	0	292302.5	1
Tbx21	Bcl2	23	23	0	292512	0
Rxra	Srgap3	24	24	0	292547	1
Klf3	Stard5	-23	23	0	292645	0
Tcf12	Gimap7	-21	21	0	292783.5	1
Stat4	Akna	-22	22	0	292862	0
Nfatc1	Idi1	21	21	0	293103	1
Mxi1	Tcf25	22	22	0	293187.5	0
Sox4	Ndrg1	23	23	0	293239.5	1
Klf4	Fbxo2	22	22	0	293318.5	1
Rara	Abcb1a	23	23	0	293357.5	1
Max	Syce2	22	22	0	293396.5	1
Gfi1	Mllt6	-22	22	0	293516.5	1
Inhba	Cldnd1	22	22	0	293521	0
Ahr	Mllt6	23	23	0	293551.5	0
Gfi1	Selenbp1	21	21	0	293707	1
Ets2	Ss18	21	21	0	293749	1
Stat2	Clec2i	21	21	0	293752.5	1
Egr2	Ypel5	21	21	0	293772.5	0
Nfyb	Hk2	20	20	0	293773.5	0
Stat3	Slc2a1	22	22	0	293813.5	1
Chd7	Sipa1l2	23	23	0	293976	0
Zbed4	St7	22	22	0	294148	0
Aes	Ecd	-21	21	0	294174.5	0
Pbx2	Sesn3	-20	20	0	294326.5	0
Smarca2	Scml4	22	22	0	294468	0
Tal2	Ankrd57	23	23	0	294616	0
Crem	Dlg3	-23	23	0	294635	0
Ahr	Cox7a2l	-21	21	0	294688.5	0
Irf5	Dhcr7	-21	21	0	294750.5	0
Lef1	Bzw2	22	22	0	294935	1
Ing2	Narf	21	21	0	295032.5	0
Nfatc1	Vgll4	-21	21	0	295035.5	1
Ets2	Il7r	23	23	0	295058.5	1
Irf5	M6pr	21	21	0	295095	0
Ercc5	Bbc3	24	24	0	295302.5	0
Nfyb	H2-eb1	-21	21	0	295323	0
Irf5	Il15ra	21	21	0	295325.5	1
Arid3a	Iqgap2	21	21	0	295423.5	0
Satb1	Prkch	22	22	0	295515	0
Klf7	Son	-22	22	0	295633.5	1
Mxi1	Sc4mol	-20	20	0	295704	0
Stat3	Casp6	21	21	0	295739	0
Crebbp	Vdac1	-21	21	0	295810	0
Tef	Utf1	22	22	0	295887	0
Zfp36l1	Kdm2b	22	22	0	296006.5	0
Prkrir	Ikzf4	-23	23	0	296189.5	0
Dnmt3b	Sfmbt1	23	23	0	296246.5	0
Runx1	Rgs14	24	24	0	296275	1
Tcf12	Ddx51	22	22	0	296321	0
Ski	Myd88	22	22	0	296343	0
Trib3	4930583h14rik	22	22	0	296389.5	0
Stat2	Plekhf2	-21	21	0	296728	0
Klf3	Capg	-20	20	0	297053.5	0
Lef1	B230312a22rik	-22	22	0	297177	0
Impdh1	Penk	-23	23	0	297251	0
H1f0	Pafah1b3	21	21	0	297264.5	0
Trib3	P4ha2	22	22	0	297573	0
Klf7	Mapk3	20	20	0	297632	1
Nfatc2	Agpat3	-20	20	0	297790	0
Irf4	Avpi1	22	22	0	297869.5	0
Rxra	Gdpd5	24	24	0	298024	1
Fbxo18	Evi2a	22	22	0	298106.5	0
Atf6	Psme2	-20	20	0	298138	0
Irf5	Tspan13	-21	21	0	298215	1
Tbx21	Trmt5	-21	21	0	298216.5	0
Batf3	Irf4	23	23	0	298340.5	0
H1f0	Ndrg2	21	21	0	298559	0
Mafg	Pvt1	-21	21	0	298762	0
Mxi1	D19wsu162e	22	22	0	298871	0
Batf	Pgs1	22	22	0	299026.5	1
Irf5	Me2	-20	20	0	299197.5	0
Maf	Ctla2a	-20	20	0	299404	1
Dnmt3a	Sms	21	21	0	299426.5	0
Tcf12	Ppcdc	-21	21	0	299437	1
Maf	Rasal1	21	21	0	299485	0
Stat2	Plxnc1	20	20	0	299600.5	1
Tef	Aig1	22	22	0	299615.5	1
Irf4	Afp	-20	20	0	299615.5	1
Cebpb	Ccr7	22	22	0	299681	1
Max	Xylt2	23	23	0	299681.5	1
Fosl2	Ldlrap1	21	21	0	299717	0
Bcl3	Rhoq	-21	21	0	299940.5	0
Cebpb	Apobec1	21	21	0	300012.5	0
Mxi1	Eno3	-21	21	0	300315.5	0
Irf4	Pafah1b3	21	21	0	300341	0
Chd7	Epcam	22	22	0	300456	0
Ercc5	Dyx1c1	21	21	0	300494.5	0
Nfyb	Sesn3	-21	21	0	300591	1
Zfp36l1	Dusp6	21	21	0	300759.5	0
Impdh1	Scin	-22	22	0	300834.5	0
Gfi1	Antxr2	-21	21	0	301151.5	0
Stat2	Cmah	22	22	0	301279.5	1
Batf	Ccl20	22	22	0	301379	1
Klf4	Heatr1	-20	20	0	301407.5	1
H1f0	Tspan2	21	21	0	301440.5	0
Nfyb	2610019f03rik	-19	19	0	301674.5	0
Fosl2	Rab6	23	23	0	301797.5	1
Egr2	Slc25a30	20	20	0	302171	0
Cebpb	Mina	-21	21	0	302186	0
Gfi1	St7l	-24	24	0	302195	1
Thap4	Eea1	20	20	0	302213.5	0
Prkrir	Mllt6	-21	21	0	302248.5	0
Hmgn1	Lime1	-20	20	0	302266.5	0
Klf7	Smpd4	22	22	0	302294	1
Ets2	Basp1	21	21	0	302294.5	1
Egr3	Myo10	-22	22	0	302310.5	1
Rbpj	Igf2r	22	22	0	302407.5	0
Aes	Dbt	-21	21	0	302499	0
Impdh1	Cln5	23	23	0	302499.5	0
Irf4	H1f0	20	20	0	302535	0
Kdm2b	Fut7	-22	22	0	302732	0
Tcf12	Pdcd1	21	21	0	302794.5	1
Dnmt3a	Pvt1	20	20	0	302803.5	0
Egr2	Helb	19	19	0	302827.5	0
Ets1	Riok3	-22	22	0	302910	1
Myb	Tmed3	21	21	0	303103	1
Sox4	Trps1	-22	22	0	303157	1
Nfatc1	Tnfrsf1a	-20	20	0	303183	0
Nfatc1	Tnfsf9	21	21	0	303386	1
Ets2	Ctsw	21	21	0	303617.5	1
Smarca2	Trmt5	-19	19	0	303670	0
Batf	Tspan6	21	21	0	303789.5	1
Klf4	Mapk3	19	19	0	303817	0
Klf7	Pgam1	21	21	0	303847.5	0
Nfatc2	4930583h14rik	-22	22	0	304043.5	0
Stat3	Jak3	20	20	0	304160.5	1
Runx1	Sh3kbp1	20	20	0	304334.5	1
Stat3	Capg	20	20	0	304336.5	1
Ikzf3	Phlda3	-20	20	0	304509.5	0
Vax2	Tmem19	21	21	0	304526.5	0
Fosl2	Sap30	-22	22	0	304609	1
Ifih1	Gpr83	-22	22	0	304667.5	0
Zbed4	Flot2	-20	20	0	304815	0
Ifih1	Rorc	-22	22	0	304867.5	0
Klf7	Trim13	-22	22	0	304903.5	1
Irf5	Dhrs1	-20	20	0	304933	0
Ahr	Rbpj	20	20	0	304968.5	1
Max	Gja1	21	21	0	305114	1
Klf4	Cst3	22	22	0	305270.5	1
Foxp1	P4hb	-21	21	0	305292.5	0
Rora	Tnk2	22	22	0	305535.5	1
Stat3	Mxi1	20	20	0	305539	1
Klf3	Srgap3	-21	21	0	305666	0
Klf4	Prkrir	-19	19	0	305830.5	0
Pou2f2	Rdh10	22	22	0	306093	1
Ifih1	Sik1	23	23	0	306109	0
Inhba	Stab1	20	20	0	306230.5	0
Nfatc2	Nfkbia	21	21	0	306296	1
Lrrfip1	Dlg3	-20	20	0	306359	0
Chd7	Maoa	-20	20	0	306390.5	0
Sox4	C2cd3	21	21	0	306661	1
Batf	Actn1	-20	20	0	306886	1
Irf5	Cstf2t	22	22	0	306895	0
Trib3	Abcb9	22	22	0	306933	0
Dnmt3a	S100a13	-19	19	0	307068.5	0
Ets2	Ctss	19	19	0	307084.5	1
Ikzf3	Pvt1	-20	20	0	307151	0
Irf4	Utp20	-20	20	0	307207	0
Klf4	Sfmbt1	-21	21	0	307392.5	0
Ift57	Plod3	20	20	0	307558.5	0
H1f0	Bc016423	-20	20	0	307576.5	0
Egr2	Ecd	-20	20	0	307720.5	0
Myb	Cd84	-22	22	0	307942.5	0
Stat3	Stard10	20	20	0	308018.5	1
Nfatc2	3110057o12rik	-21	21	0	308053	0
H1f0	Ccl20	20	20	0	308079	0
Nfatc1	Son	-19	19	0	308104.5	0
Nfil3	Cxcr3	-20	20	0	308107	0
Impdh1	Dnajc12	-21	21	0	308110	0
Irf5	Dnajc27	19	19	0	308237	0
Exo1	Ifit2	21	21	0	308352.5	0
Aes	Dgat1	20	20	0	308473.5	0
Lrrfip1	Ctsw	20	20	0	308649	0
Etv6	Parp16	-21	21	0	308762	1
Mxi1	Tnf	20	20	0	308961	1
Pou2f2	Tsc22d1	20	20	0	308970	0
Nfatc2	Rap1gds1	-21	21	0	309010	1
Rora	C1s	21	21	0	309210	1
Bcl3	Nckap1	-21	21	0	309340.5	0
Trib3	3110057o12rik	21	21	0	309431	0
Rara	Il10	-20	20	0	309626.5	0
Sox4	Ptpre	18	18	0	309803	1
Aes	Akap12	19	19	0	309825.5	0
Myb	Ift57	20	20	0	309889.5	1
Rara	Nudt4	22	22	0	309897	1
Zfp239	Cxcr4	-19	19	0	309973.5	0
Tbx21	Cxcr3	21	21	0	310149	1
Nfatc1	Il2ra	22	22	0	310262.5	1
Fosl2	Ets1	22	22	0	310266	1
Ets2	Xdh	22	22	0	310267	1
Crem	Icam1	20	20	0	310398	0
Nfatc2	Rgs1	-22	22	0	310431	1
Zfp36l1	Papolg	20	20	0	310534	0
Rxra	Srxn1	22	22	0	310929.5	1
Prkrir	Fam129a	20	20	0	310956	0
Bcl3	Ppp3cc	-22	22	0	311094	0
Ski	Bex1	-20	20	0	311239.5	0
Stat2	Tmem71	20	20	0	311310	1
Fosl2	Fam160b1	22	22	0	311317	1
Runx1	Rhbdf1	21	21	0	311371	1
Stat3	Ndrg4	20	20	0	311683	0
Gfi1	Lpin2	21	21	0	311694.5	0
Stat4	Irf5	-20	20	0	311775	0
Klf4	Thoc3	-21	21	0	311783	0
Max	Dusp14	20	20	0	311792	1
Son	Ankra2	21	21	0	311844	0
Smarca2	Dctpp1	-18	18	0	311862	0
Rpa2	Oxct1	18	18	0	311899.5	0
Stat2	Glipr1	20	20	0	311909	1
Egr2	Narf	19	19	0	311944	1
Irf5	Mapk3	-19	19	0	311965	0
Mxi1	Tmbim1	-19	19	0	312095	0
Prkrir	Pgm2	18	18	0	312150.5	0
Klf4	Flot2	20	20	0	312155.5	1
Tcf12	Inpp1	-19	19	0	312209.5	0
Rel	Flot1	20	20	0	312214.5	1
Rxra	Rassf1	22	22	0	312215.5	1
Nfyb	Rnf113a1	19	19	0	312296	0
Rora	Glipr1	-20	20	0	312320	0
Inhba	Kctd14	19	19	0	312354	0
Nfe2l2	Tnfsf4	-21	21	0	312411	0
Phtf2	Smox	-21	21	0	312523	0
Ercc5	Ap3b1	21	21	0	312729	0
Mxi1	Csnk1e	19	19	0	312925	0
Crebbp	Chst12	-19	19	0	313147.5	0
Trim24	Pde8a	21	21	0	313600.5	0
Zfp239	Parp6	-20	20	0	313610.5	0
Klf7	Hk1	22	22	0	313814.5	1
Ets2	Abcb1b	-19	19	0	313911	1
Ets1	Akr1c12	22	22	0	314008.5	1
Aes	Tubgcp5	-20	20	0	314042.5	0
Ski	Decr1	-19	19	0	314133	0
Stat3	Ankrd13c	-19	19	0	314144.5	1
Bcl3	Amz2	-20	20	0	314310.5	1
Klf4	Akna	20	20	0	314495	1
Zfp36l1	Sox4	19	19	0	314559.5	0
Pou2f2	Map3k1	19	19	0	314561.5	1
Crebbp	Decr1	-19	19	0	314618	0
Irf5	Aes	-18	18	0	314642	0
Tcf12	Sema4d	-22	22	0	314690	1
Irf5	1190002n15rik	-19	19	0	314751	0
Max	Afp	18	18	0	314788	1
Pknox1	Ap4m1	-20	20	0	314848.5	0
Fancm	Eef1a1	-21	21	0	315002	0
Egr3	Ppm1d	22	22	0	315043.5	1
Klf4	Sertad3	20	20	0	315060.5	1
Ing2	Sash3	20	20	0	315156.5	0
Sap30	P4hb	19	19	0	315169.5	0
Tal2	Tnfsf4	21	21	0	315218	0
Ets1	Brd3	20	20	0	315234	1
Myb	Sox4	-19	19	0	315379.5	0
Ahr	Stard5	20	20	0	315427.5	0
H1f0	Nqo2	19	19	0	315491	0
Egr2	Brd3	-20	20	0	315492.5	0
Klf3	Rbpj	-19	19	0	315583	0
Ahr	Plagl1	-21	21	0	315685	0
Akna	Ctss	18	18	0	315890	0
Myb	Il2rb	19	19	0	316062.5	0
Klf7	Slc30a1	-21	21	0	316074.5	1
Ets1	Slfn2	21	21	0	316118.5	1
Runx1	Gdpd5	21	21	0	316135.5	1
Irf4	Tmem183a	-21	21	0	316211	0
Batf	Gpr65	20	20	0	316217.5	1
Aes	Ece1	-20	20	0	316267	0
Pbx2	Aqp3	-18	18	0	316278	0
Sox4	Tmem48	-21	21	0	316401	1
Mxi1	Ick	-20	20	0	316660	0
Aes	Klraq1	19	19	0	316879.5	0
Hmgn1	Brd3	20	20	0	316919	0
Klf4	Npc2	19	19	0	317017.5	0
H2afx	1500010j02rik	18	18	0	317020	0
Klf3	Bmyc	-20	20	0	317044	0
Rxra	Tubb6	20	20	0	317207.5	1
Ets1	Mtss1	-21	21	0	317362.5	0
Maf	Dnmt3a	18	18	0	317467	1
Zfp36l1	Spry1	19	19	0	317620	0
Rpa2	Ifitm1	-19	19	0	317643.5	0
Sox4	Clec2i	18	18	0	317656	1
Stat2	Stap1	20	20	0	317670.5	1
Pcbp4	Arrb2	21	21	0	317757	0
Ahr	Ifih1	-19	19	0	317823.5	0
Dnmt3a	Haus8	-19	19	0	318004	0
Rxra	Atmin	19	19	0	318179	1
Tbx21	Mxd1	21	21	0	318260	0
Mafg	Narg2	-20	20	0	318269.5	1
Sox4	Cd1d1	18	18	0	318398	0
Ski	Ankra2	-20	20	0	318421	0
Nfe2l2	Osbpl2	21	21	0	318450.5	1
Dnmt3a	Akap12	-19	19	0	318770.5	0
Fli1	Spn	21	21	0	318771.5	1
Bcl3	Marcks	20	20	0	318803.5	1
Stat4	Endod1	-21	21	0	318842	0
Egr2	Cog6	19	19	0	318868	1
Tcf12	Bcl2	-20	20	0	319007.5	1
Pou2f2	Nrip1	20	20	0	319137	1
Xrcc5	Atp6v1d	-19	19	0	319169.5	0
Fli1	Aste1	-21	21	0	319374.5	1
Akna	Apbb1ip	21	21	0	319404.5	0
Ikzf4	Rasal1	-19	19	0	319420.5	0
Nfkb1	Lrrc33	20	20	0	319444	1
Pbx2	Gm10345	-18	18	0	319468	0
Sap30	Hk2	19	19	0	319509	0
Lef1	Slc30a1	21	21	0	319600	1
Nupr1	4930583h14rik	19	19	0	319695	0
Egr2	Wdr82	19	19	0	319789	1
Arid5a	Tpd52	-21	21	0	319859	1
Smarca2	Slc25a45	17	17	0	319940.5	0
Pml	Spn	-21	21	0	319955.5	0
Tcf12	Cd5l	18	18	0	320034.5	1
Nfatc2	Pgm2	-18	18	0	320070.5	0
Max	Pet112l	18	18	0	320080	1
Zfp36l1	Slc38a1	18	18	0	320605.5	0
Hmgn1	Lrdd	20	20	0	320610.5	0
Runx1	Cd4	19	19	0	320611.5	0
Foxp1	Plagl1	20	20	0	320678.5	1
Klf3	Tns1	21	21	0	320740	1
Etv6	Herc4	20	20	0	320776.5	1
Mafg	Zfp426	-20	20	0	320867	1
Mafg	Klraq1	19	19	0	320869	0
Egr2	Snx19	-18	18	0	320918.5	0
Crem	Wipf1	-18	18	0	321121	0
Ikzf3	2810021b07rik	-19	19	0	321147.5	0
Nfatc2	Ppp3cc	-19	19	0	321443	0
Pcbp4	Kdm2b	-20	20	0	321454	0
Stat3	Usp22	21	21	0	321591	1
Myb	Mycbp2	-17	17	0	321718	0
Cebpb	Cd4	18	18	0	321906.5	0
Rora	Anxa3	20	20	0	322092.5	0
Zbed4	Uros	20	20	0	322286	0
Cebpb	2010002n04rik	-18	18	0	322326	0
Satb1	Acsl4	19	19	0	322363	0
H2afx	D1ertd622e	-19	19	0	322441	0
Eomes	Golm1	-20	20	0	322477	0
Maf	Ctla2b	-18	18	0	322505	1
Rbpj	Akna	18	18	0	322563	1
Dnmt3a	Tmem176a	-19	19	0	322572	0
Lef1	Zscan21	19	19	0	322576	0
Nfyb	Gys1	18	18	0	322629.5	1
Prkrir	Lrmp	18	18	0	322681	1
Stat2	Chst15	18	18	0	322715.5	0
Pknox1	Mettl8	-20	20	0	322740	0
Pou2f2	Pde8a	19	19	0	322753.5	1
Akna	Klf4	18	18	0	322814.5	0
Crebbp	Zfp36l1	17	17	0	322864.5	0
Stat3	Basp1	18	18	0	323089.5	1
Pou2f2	Pten	19	19	0	323355	1
Sox4	Adarb1	-19	19	0	323400.5	0
Zfp239	Nfkbia	-18	18	0	323645	0
Pou2f2	Chic2	19	19	0	323663	0
Ikzf4	Stat3	20	20	0	323831	0
Sox4	Fasl	18	18	0	323841.5	1
Ifih1	Tmem120b	20	20	0	323857	0
Batf	Akap12	19	19	0	323960.5	1
Ahr	Tnfsf9	-19	19	0	324040	0
Prkrir	Dcxr	18	18	0	324083	0
Klf4	Parp16	18	18	0	324124.5	0
Zfp239	Maoa	18	18	0	324232	0
Aes	Ets1	18	18	0	324293	0
Klf4	Cog6	18	18	0	324393.5	0
Rxra	Fes	19	19	0	324398.5	1
Nfe2l2	Chd7	17	17	0	324637	1
Irf4	Tcf12	-18	18	0	324671	1
Ets2	Lgals3	20	20	0	324672.5	1
Mxi1	1700081l11rik	20	20	0	324842.5	0
Chd7	Tmem19	-19	19	0	324842.5	0
Ahr	Akna	-17	17	0	324887	0
Xrcc5	Mecr	19	19	0	324889	0
Chd7	Ccr5	19	19	0	324957.5	0
Nfkb1	Lif	19	19	0	325010.5	1
Ifih1	Car2	18	18	0	325071.5	0
Sap30	Rnf113a1	19	19	0	325072	0
Rara	Mpzl2	19	19	0	325109	0
Stat3	Dnmt3a	-17	17	0	325171.5	1
Klf7	Dhrs1	17	17	0	325223	1
Inhba	Uba1	19	19	0	325324.5	0
Klf7	Dazap2	-19	19	0	325347	1
Gata3	Fli1	19	19	0	325395	1
Myb	Foxp1	-18	18	0	325410.5	1
Klf4	Dpp4	17	17	0	325432	0
